Length	Field
8.7608760900E+00	1.8992475300E+00
8.7758775900E+00	1.8994731700E+00
8.7908790900E+00	1.8996988200E+00
8.8058805900E+00	1.8999244700E+00
8.8208820900E+00	1.9001501200E+00
8.8358835900E+00	1.9003757700E+00
8.8508850900E+00	1.9006014100E+00
8.8658865900E+00	1.9008270600E+00
8.8808880900E+00	1.9010527100E+00
8.8958895900E+00	1.9012783600E+00
8.9108910900E+00	1.9015040100E+00
8.9258925900E+00	1.9017296600E+00
8.9408940900E+00	1.9019553100E+00
8.9558955900E+00	1.9021809600E+00
8.9708970900E+00	1.9024066100E+00
8.9858985900E+00	1.9026322600E+00
9.0009000900E+00	1.9028579000E+00
9.0159015900E+00	1.9030835500E+00
9.0309030900E+00	1.9033092000E+00
9.0459045900E+00	1.9035348500E+00
9.0609060900E+00	1.9037605000E+00
9.0759075900E+00	1.9039861500E+00
9.0909090900E+00	1.9042118000E+00
9.1059105900E+00	1.9044374500E+00
9.1209120900E+00	1.9046631000E+00
9.1359135900E+00	1.9048887500E+00
9.1509150900E+00	1.9051144100E+00
9.1659165900E+00	1.9053400600E+00
9.1809180900E+00	1.9055657100E+00
9.1959195900E+00	1.9057913600E+00
9.2109210900E+00	1.9060170100E+00
9.2259225900E+00	1.9062426600E+00
9.2409240900E+00	1.9064683100E+00
9.2559255900E+00	1.9066939600E+00
9.2709270900E+00	1.9069196100E+00
9.2859285900E+00	1.9071452600E+00
9.3009300900E+00	1.9073709200E+00
9.3159315900E+00	1.9075965700E+00
9.3309330900E+00	1.9078222200E+00
9.3459345900E+00	1.9080478700E+00
9.3609360900E+00	1.9082735200E+00
9.3759375900E+00	1.9084991700E+00
9.3909390900E+00	1.9087248300E+00
9.4059405900E+00	1.9089504800E+00
9.4209420900E+00	1.9091761300E+00
9.4359435900E+00	1.9094017800E+00
9.4509450900E+00	1.9096274400E+00
9.4659465900E+00	1.9098530900E+00
9.4809480900E+00	1.9100787400E+00
9.4959495900E+00	1.9103043900E+00
9.5109511000E+00	1.9105300500E+00
9.5259526000E+00	1.9107557000E+00
9.5409541000E+00	1.9109813500E+00
9.5559556000E+00	1.9112070100E+00
9.5709571000E+00	1.9114326600E+00
9.5859586000E+00	1.9116583100E+00
9.6009601000E+00	1.9118839700E+00
9.6159616000E+00	1.9121096200E+00
9.6309631000E+00	1.9123352700E+00
9.6459646000E+00	1.9125609300E+00
9.6609661000E+00	1.9127865800E+00
9.6759676000E+00	1.9130122400E+00
9.6909691000E+00	1.9132378900E+00
9.7059706000E+00	1.9134635400E+00
9.7209721000E+00	1.9136892000E+00
9.7359736000E+00	1.9139148500E+00
9.7509751000E+00	1.9141405100E+00
9.7659766000E+00	1.9143661600E+00
9.7809781000E+00	1.9145918200E+00
9.7959796000E+00	1.9148174700E+00
9.8109811000E+00	1.9150431300E+00
9.8259826000E+00	1.9152687800E+00
